saldo_corrente,duracao_emp_meses,historico_credito,quantia_real,saldo_poupanca,tempo_empregado,porcentagem_renda,anos_residencia,idade,qtd_emprestimos_existentes,dependentes,telefone,motivo_educacao,motivo_moveis/eletrodomesticos,motivo_negocios,motivo_renovacao,outro_credito_loja,outro_credito_nenhum,residencia_outros,residencia_propria,emprego_gerencial,emprego_nao-qualificado,emprego_qualificado
3,4.0,1,9581.18,-1,5,4.0,4.0,49,2,1,1,0,1,0,0,1,0,0,1,0,1,0
1,4.0,1,3063.57,-1,5,4.0,4.0,67,2,1,2,0,1,0,0,0,1,0,1,0,0,1
2,2.0,1,20331.2,4,5,2.0,4.0,29,1,1,1,0,0,0,0,0,1,0,0,0,0,1
-1,4.0,3,3372.8,-1,5,4.0,2.0,45,1,1,1,0,0,0,0,0,1,0,1,0,1,0
-1,4.0,1,5084.13,4,5,4.0,4.0,60,1,1,2,0,0,0,0,0,1,0,1,0,0,1
1,4.0,4,7411.26,3,3,4.0,4.0,22,1,1,2,0,1,0,0,1,0,0,1,0,0,1
1,4.0,1,3755.42,1,3,4.0,3.0,25,2,1,1,0,1,0,0,0,1,0,0,0,0,1
-1,1.0,3,21313.99,1,3,1.0,2.0,30,1,1,1,0,0,0,0,0,0,0,1,0,0,1
1,4.0,3,4827.29,1,2,4.0,4.0,34,1,1,2,0,0,0,0,0,1,0,1,0,0,1
-1,3.0,3,5610.89,2,4,3.0,1.0,35,1,1,1,0,1,0,0,0,1,0,1,0,0,1
-1,1.0,3,19374.67,1,3,1.0,4.0,43,1,2,1,0,0,0,0,0,1,0,1,0,1,0
-1,3.0,1,11861.2,1,3,3.0,2.0,74,1,1,2,0,0,1,0,0,1,0,1,1,0,0
2,4.0,3,37522.88,1,5,4.0,2.0,57,1,1,2,0,0,0,0,0,1,1,0,1,0,0
-1,4.0,3,5144.41,1,4,4.0,2.0,31,2,2,2,0,1,0,0,0,1,0,0,1,0,0
2,1.0,1,9478.98,1,5,1.0,4.0,28,3,1,2,0,1,0,0,0,1,0,0,0,0,1
-1,4.0,1,7188.5,1,5,4.0,2.0,29,2,1,1,0,1,0,0,0,1,0,1,0,0,1
1,2.0,3,2901.09,1,3,2.0,2.0,20,1,2,2,0,1,0,0,0,1,0,0,1,0,0
1,4.0,1,4905.92,1,1,4.0,4.0,36,3,1,2,0,1,0,0,0,1,1,0,1,0,0
2,1.0,4,2439.84,2,2,1.0,1.0,32,1,1,1,0,0,0,0,1,0,0,1,0,1,0
2,4.0,1,7390.3,1,2,4.0,4.0,27,2,1,1,0,0,0,0,0,1,0,1,0,0,1
1,4.0,3,3218.21,1,3,4.0,2.0,24,1,1,1,0,0,0,0,0,1,0,1,0,1,0
1,4.0,3,8766.16,1,5,4.0,2.0,39,1,1,2,0,1,0,0,0,1,0,0,1,0,0
2,2.0,3,9725.31,-1,3,2.0,2.0,27,1,1,1,1,0,0,0,0,1,0,1,0,0,1
-1,4.0,1,10592.77,3,3,4.0,4.0,36,2,1,2,0,1,0,0,0,1,0,1,0,0,1
-1,2.0,1,3813.09,1,4,2.0,1.0,42,3,2,1,0,0,0,0,0,1,0,1,0,1,0
-1,4.0,3,6488.8,-1,5,4.0,4.0,46,1,1,2,0,0,0,0,0,1,0,1,1,0,0
-1,3.0,1,8826.44,4,5,3.0,4.0,23,2,1,2,0,0,0,0,0,1,0,0,0,0,1
-1,4.0,3,3435.69,2,4,4.0,3.0,26,1,1,2,0,1,0,0,0,1,0,1,0,0,1
3,4.0,1,2046.75,1,5,4.0,4.0,63,2,1,2,0,0,0,0,0,1,1,0,0,0,1
-1,2.0,2,20121.57,3,4,2.0,4.0,40,2,1,2,0,1,0,0,0,1,0,1,0,0,1
1,4.0,1,5558.46,1,3,4.0,2.0,30,2,1,1,0,0,0,0,0,1,0,1,0,0,1
1,4.0,3,3600.84,-1,1,4.0,3.0,75,1,1,2,0,0,0,0,0,1,0,1,1,0,0
-1,2.0,3,3239.17,3,3,2.0,4.0,50,1,1,1,0,0,0,0,0,1,0,0,0,0,1
-1,1.0,4,9458.01,1,3,1.0,1.0,27,1,1,1,0,0,1,0,1,0,0,1,0,0,1
3,2.0,3,2950.86,2,5,2.0,4.0,49,1,1,1,0,1,0,0,0,1,0,1,0,0,1
3,4.0,3,3608.68,2,5,4.0,2.0,47,1,1,2,0,1,0,0,0,1,1,0,0,0,1
3,2.0,1,3341.38,4,3,2.0,4.0,36,2,1,2,0,0,1,0,0,1,0,1,0,0,1
-1,4.0,1,8760.93,1,3,4.0,2.0,28,1,1,2,0,1,0,0,0,1,1,0,0,0,1
-1,4.0,3,3349.22,1,5,4.0,1.0,36,1,1,2,0,1,0,0,0,1,0,1,1,0,0
-1,4.0,1,3047.84,3,3,4.0,4.0,44,1,1,2,0,0,0,0,0,1,0,1,0,0,1
-1,2.0,3,5689.47,1,2,2.0,2.0,29,1,1,1,0,1,0,0,0,0,0,1,0,0,1
1,4.0,1,2982.33,1,3,4.0,4.0,25,2,1,1,0,1,0,0,0,1,0,1,0,1,0
-1,4.0,3,4767.01,1,3,4.0,4.0,37,1,1,2,1,0,0,0,1,0,1,0,0,0,1
